,,,,,,,
,AFRIMA AWARD 2026 EKO HOTEL CHANNEL LIST ,,,,,,
,,,,,,,
,TOTAL,INSTRUMENT,MIC / DI,STAND,NOTES,CABLES,
,16,Iya Ilu Bata 6,SM 57,STANDS,XLR,,
,17,Iya Ilu Bata 7,SM 57,STANDS,XLR,,
,18,Iya Ilu Bata 8,SM 57,STANDS,XLR,,
,19,Iya Ilu Bata 9,SM 57,STANDS,XLR,,
,20,Iya Ilu Bata 10,SM 57,STANDS,XLR,,
,21,Gangan 1,BETA 98/HC (WIRED),,XLR,24 Channel Stage Box Eko Hotel (D) 8 Channel Stage Box PROAUDIO ,
,22,Gangan 2,BETA 98/HC (WIRED),,XLR,,
,23,Gangan 3,BETA 98/HC (WIRED),,XLR,,
,24,Gangan 4,BETA 98/HC (WIRED),,XLR,,
,25,Gangan 5,BETA 98/HC (WIRED),,XLR,,
,26,Gangan 6,BETA 98/HC (WIRED),,XLR,,
,27,Gangan 7,BETA 98/HC (WIRED),,XLR,,
,28,Gangan 8,BETA 98/HC (WIRED),,XLR,,
,29,Gangan 9,BETA 98/HC (WIRED),,XLR,,
,30,Gangan 10,BETA 98/HC (WIRED),,XLR,,
,31,Gangan 11,BETA 98/HC (WIRED),,XLR,,
,32,Gangan 12,BETA 98/HC (WIRED),,XLR,,
,33,Gangan 13,SM 58,STANDS,XLR,,
,34,Gangan 14,SM 58,STANDS,XLR,,
,35,Gangan 15,SM 58,STANDS,XLR,,
,36,Gangan 16,SM 58,STANDS,XLR,,
,37,Gangan 17,SM 58,STANDS,XLR,,
,38,Gangan 18,SM 58,STANDS,XLR,,
,39,Gangan 19,SM 58,STANDS,XLR,,
,40,Gangan 20,SM 58,STANDS,XLR,,
,41,Gangan 21,SM 58,STANDS,XLR,,
,42,Gangan 22,SM 58,STANDS,XLR,,
,43,Gangan 23,SM 58,STANDS,XLR,,
,44,Gangan 24,SM 58,STANDS,XLR,,
,45,Gangan 25,SM 58,STANDS,XLR,,
,46,Gangan 26,SM 58,STANDS,XLR,,
,47,Gangan 27,SM 58,STANDS,XLR,,
,48,Gangan 28,SM 58,STANDS,XLR,,
,49,Gangan 29,SM 58,STANDS,XLR,,
,50,Gangan 30,SM 58,STANDS,XLR,,
,51,Omela Bata 1,SM 57,STANDS,XLR,,
,52,Omela Bata 2,SM 57,STANDS,XLR,,
,53,Omela Bata 3,SM 57,STANDS,XLR,,
,54,Omela Bata 4,SM 57,STANDS,XLR,,
,55,Omela Bata 5,SM 57,STANDS,XLR,,
,56,Omele Apala 1,SM 57,STANDS,XLR,,
,57,Omele Apala 2,SM 57,STANDS,XLR,,
,58,Omele Apala 3,SM 57,STANDS,XLR,,
,59,Omele Apala 4,SM 57,STANDS,XLR,,
,60,Omele Apala 5,SM 57,STANDS,XLR,,
,61,Sakara 1,SM 57,STANDS,XLR,,
,62,Sakara 2,SM 57,STANDS,XLR,,
,63,Accord 1,SM 57,STANDS,XLR,,
,64,Sekere 1,SM 57,STANDS,XLR,,
,,,,,,,
,,,,,,,
,,Note Summary,AVAILABLE ,,,,
,,28* Stands for Percussion,16 Tripod stands (PROAUDIO) ,,,,
,,7*Short Stands for Drums,20 Tripod stand (Eko Hotel),,,,
,,5*Tall Boom for Drums and Talk Back,,,,,
,,2*RoundBase for Performances ,,,,,
,,1*RoundBase with T adaptor for Gooseneck Mic,,,,,
,,28*Shure SM58 /SM57/Shure Beta 98 H/C,,,,,
,,,,,,,
,,110* 5m XLR Cables,,,,,
,,,,,,,
,,Description,Show No,Iventory (Eko),Inventory (PROAUDIO),Difference,Notes
,,Tripod Stands ,52,20,16,16,
,,Talk Back,5,0,0,5,
,,Round Base,2,0,5,3,
,,Podium Stand,1,0,3,2,
,,SM 58,28,7,14,7,
,,SM57,23,6,5,12,
,,Shure Beta 57a,,,2,,
,,Shure PGA 48,,,3,,
,,Shure Beta98H,,,12,,8 without Preamps
,,Sennheiser E945,,,3,,
